,Timestamp,Data
3551,102839.80277050688,[-88.]
3552,102839.8104476071,[-75.]
3553,102839.81812470732,[-78.]
3554,102839.82580180754,[-90.]
3555,102839.83347890776,[-75.]
3556,102839.84115600798,[-44.]
3557,102839.84883310819,[-41.]
3558,102839.85651020841,[-61.]
3559,102839.86418730863,[-73.]
3560,102839.87186440885,[-78.]
3561,102839.87954150907,[-83.]
3562,102839.88721860928,[-85.]
3563,102839.8948957095,[-80.]
3564,102839.90257280972,[-83.]
3565,102839.91024990994,[-90.]
3566,102839.91792701016,[-80.]
3567,102839.92560411038,[-70.]
3568,102839.93328121059,[-70.]
3569,102839.9409583108,[-70.]
3570,102839.94863541103,[-68.]
3571,102839.95631251125,[-63.]
3572,102839.96398961147,[-56.]
3573,102839.97166671167,[-56.]
3574,102839.9793438119,[-56.]
3575,102839.98702091211,[-80.]
3576,102839.99469801233,[-83.]
3577,102840.00237511256,[124.]
3578,102840.01005221278,[594.]
3579,102840.01772931298,[973.]
3580,102840.0254064132,[780.]
3581,102840.03308351342,[61.]
3582,102840.04076061364,[-303.]
3583,102840.04843771386,[-51.]
3584,102840.05611481408,[17.]
3585,102840.06379191429,[-139.]
3586,102840.07146901451,[-95.]
3587,102840.07914611473,[-31.]
3588,102840.08682321495,[-70.]
3589,102840.09450031517,[-61.]
3590,102840.10217741538,[-24.]
3591,102840.1098545156,[-24.]
3592,102840.11753161582,[-14.]
3593,102840.12520871604,[14.]
3594,102840.13288581626,[26.]
3595,102840.14056291648,[36.]
3596,102840.14824001669,[61.]
3597,102840.1559171169,[83.]
3598,102840.16359421713,[107.]
3599,102840.17127131735,[141.]
3600,102840.17894841757,[168.]
3601,102840.18662551777,[195.]
3602,102840.194302618,[224.]
3603,102840.20197971821,[242.]
3604,102840.20965681844,[246.]
3605,102840.21733391866,[244.]
3606,102840.22501101888,[220.]
3607,102840.23268811908,[173.]
3608,102840.2403652193,[107.]
3609,102840.24804231952,[34.]
3610,102840.25571941974,[-29.]
3611,102840.26339651996,[-73.]
3612,102840.27107362018,[-100.]
3613,102840.27875072039,[-112.]
