Timestamp;Data
884813.943132137;121
884813.950810172;121
884813.958488206;116
884813.96616624;113
884813.973844275;116
884813.981522309;121
884813.989200344;118
884813.996878378;93
884814.004556413;65
884814.012234447;78
884814.019912482;106
884814.027590516;121
884814.035268551;126
884814.042946585;126
884814.050624619;118
884814.058302654;113
884814.065980688;111
884814.073658723;111
884814.081336757;108
884814.089014792;106
884814.096692826;121
884814.104370861;101
884814.112048895;101
884814.11972693;468
884814.127404964;731
884814.135082999;498
884814.142761033;136
884814.150439068;341
884814.158117102;80
884814.165795136;73
884814.173473171;199
884814.181151205;131
884814.18882924;83
884814.196507274;121
884814.204185309;106
884814.211863343;75
884814.219541378;73
884814.227219412;60
884814.234897447;32
884814.242575481;17
884814.250253516;10
884814.25793155;7
884814.265609585;35
884814.273287619;58
884814.280965653;70
884814.288643688;70
884814.296321722;55
884814.303999757;32
884814.311677791;7
884814.319355826;10
884814.32703386;22
884814.334711895;43
884814.342389929;65
884814.350067964;88
884814.357745998;101
884814.365424033;101
884814.373102067;96
884814.380780101;93
884814.388458136;93
884814.39613617;91
884814.403814205;91
884814.411492239;96
884814.419170274;98
884814.426848308;98
884814.434526343;101
884814.442204377;101
884814.449882412;101
884814.457560446;103
884814.465238481;101
884814.472916515;98
884814.48059455;88
884814.488272584;60
884814.495950618;37
884814.503628653;50
884814.511306687;75
884814.518984722;88
884814.526662756;93
884814.534340791;93
884814.542018825;88
884814.54969686;86
884814.557374894;83
884814.565052929;80
884814.572730963;75
884814.580408998;75
884814.588087032;98
884814.595765067;91
884814.603443101;93
884814.611121135;468
884814.61879917;774
884814.626477204;604
884814.634155239;25
884814.641833273;318
884814.649511308;88
884814.657189342;50
884814.664867377;187
884814.672545411;139
884814.680223446;83
884814.68790148;116
884814.695579514;106
884814.703257549;75
884814.710935583;73
884814.718613618;63
884814.726291653;37
884814.733969687;22
884814.741647721;7
884814.749325756;15
884814.75700379;37
884814.764681825;58
884814.772359859;63
884814.780037894;55
884814.787715928;30
884814.795393963;7
884814.803071997;32
884814.810750031;43
884814.818428066;55
884814.8261061;70
884814.833784135;86
884814.841462169;103
884814.849140204;113
884814.856818238;116
884814.864496273;118
884814.872174307;118
884814.879852342;118
884814.887530376;121
884814.895208411;121
884814.902886445;126
884814.91056448;134
884814.918242514;134
884814.925920549;131
884814.933598583;131
884814.941276617;129
884814.948954652;126
884814.956632686;129
884814.964310721;124
884814.971988755;116
884814.97966679;96
884814.987344824;60
884814.995022859;48
884815.002700893;73
884815.010378928;98
884815.018056962;106
884815.025734997;106
884815.033413031;103
884815.041091065;98
884815.0487691;96
884815.056447134;96
884815.064125169;91
884815.071803203;88
884815.079481238;98
884815.087159272;129
884815.094837307;73
884815.102515341;215
884815.110193376;602
884815.11787141;751
884815.125549445;346
884815.133227479;235
884815.140905513;240
884815.148583548;25
884815.156261582;118
884815.163939617;177
884815.171617651;91
884815.179295686;88
884815.18697372;118
884815.194651755;88
884815.202329789;68
884815.210007824;65
884815.217685858;45
884815.225363893;22
884815.233041927;10
884815.240719962;7
884815.248397996;30
884815.25607603;48
884815.263754065;60
884815.271432099;60
884815.279110134;45
884815.286788168;25
884815.294466203;7
884815.302144237;7
884815.309822272;15
884815.317500306;25
884815.325178341;53
884815.332856375;93
884815.34053441;116
884815.348212444;116
884815.355890479;113
884815.363568513;118
884815.371246548;124
884815.378924582;124
884815.386602616;126
884815.394280651;129
884815.401958685;134
884815.40963672;131
884815.417314754;134
884815.424992789;139
884815.432670823;134
884815.440348858;129
884815.448026892;126
884815.455704926;126
884815.463382961;126
884815.471060995;116
884815.47873903;88
884815.486417064;58
884815.494095099;50
884815.501773133;75
884815.509451168;103
884815.517129202;111
884815.524807237;108
884815.532485271;106
884815.540163306;101
884815.54784134;101
884815.555519375;96
884815.563197409;88
884815.570875444;88
884815.578553478;101
884815.586231512;121
884815.593909547;30
884815.601587581;288
884815.609265616;673
884815.61694365;721
884815.624621685;189
884815.632299719;323
884815.639977754;197
884815.647655788;20
884815.655333823;159
884815.663011857;177
884815.670689892;88
884815.678367926;108
884815.686045961;129
884815.693723995;91
884815.701402029;73
884815.709080064;65
884815.716758098;40
884815.724436133;17
884815.732114167;0
884815.739792202;22
884815.747470236;37
884815.755148271;45
884815.762826305;63
884815.77050434;70
884815.778182374;55
884815.785860409;37
884815.793538443;35
884815.801216478;22
884815.808894512;7
884815.816572546;2
884815.824250581;32
884815.831928615;78
884815.83960665;103
884815.847284684;106
884815.854962719;106
884815.862640753;113
884815.870318788;118
884815.877996822;116
884815.885674857;116
884815.893352891;126
884815.901030926;126
884815.90870896;129
884815.916386994;144
884815.924065029;149
884815.931743063;139
884815.939421098;134
884815.947099132;134
884815.954777167;126
884815.962455201;126
884815.970133236;113
884815.97781127;83
884815.985489305;73
884815.993167339;93
884816.000845374;111
884816.008523408;121
884816.016201443;126
884816.023879477;118
884816.031557511;111
884816.039235546;113
884816.04691358;113
884816.054591615;111
884816.062269649;106
884816.069947684;98
884816.077625718;111
884816.085303753;83
884816.092981787;139
884816.100659822;508
884816.108337856;716
884816.11601589;356
884816.123693925;270
884816.13137196;306
884816.139049994;40
884816.146728029;106
884816.154406063;187
884816.162084097;108
884816.169762132;103
884816.177440166;126
884816.185118201;93
884816.192796235;75
884816.20047427;75
884816.208152304;50
884816.215830339;20
884816.223508373;5
884816.231186407;7
884816.238864442;25
884816.246542476;50
884816.254220511;75
884816.261898545;78
884816.26957658;65
884816.277254614;50
884816.284932649;35
884816.292610683;20
884816.300288718;7
884816.307966752;15
884816.315644787;53
884816.323322821;91
884816.331000856;118
884816.33867889;134
884816.346356925;141
884816.354034959;139
884816.361712993;134
884816.369391028;134
884816.377069062;134
884816.384747097;131
884816.392425131;126
884816.400103166;121
884816.4077812;121
884816.415459235;121
884816.423137269;121
